costat,curcdq,datafmt,indfmt,consol,sic,datadate,gvkey,tic,dlcq,dlttq
I,USD,STD,BANK,C,6020,2000-01-31,016926,MFLR,0.0000,24.8330
I,USD,STD,BANK,C,6020,2000-03-31,001619,ASO.1,4209.3220,7546.7610
I,USD,STD,BANK,C,6020,2000-03-31,001998,ONE.1,36712.0000,38753.0000
A,USD,STD,BANK,C,6020,2000-03-31,002002,BPOP,6593.4120,2240.1600
A,USD,STD,BANK,C,6020,2000-03-31,002005,BOH,2742.3570,805.7260
I,USD,STD,BANK,C,6020,2000-03-31,002007,FBA,13.1760,53.4330
A,USD,STD,BANK,C,6020,2000-03-31,002019,BK,1440.0000,9039.0000
A,USD,STD,BANK,C,6020,2000-03-31,002620,0176A,2679.1980,929.9500
I,USD,STD,BANK,C,6020,2000-03-31,002731,PVN,216.2810,1059.9510
I,USD,STD,BANK,C,6020,2000-03-31,002849,BBVA1,1166.1960,2465.1730
A,USD,STD,BANK,C,6020,2000-03-31,002968,JPM,77307.0000,23178.0000
I,USD,STD,BANK,C,6020,2000-03-31,003066,3614B,25882.0000,25901.0000
I,USD,STD,BANK,C,6020,2000-03-31,003071,CRBC,911.9060,197.5040
I,USD,STD,BANK,C,6020,2000-03-31,003082,CYN.1,1060.9530,253.5000
A,USD,STD,BANK,C,6020,2000-03-31,003231,CMA,3465.1020,8779.9430
A,USD,STD,BANK,C,6020,2000-03-31,003238,CBSH,892.5160,25.3720
A,USD,STD,BANK,C,6020,2000-03-31,003643,CFR,277.1550,98.5270
A,USD,STD,BANK,C,6020,2000-03-31,004640,FITB,7898.6200,2015.4860
A,USD,STD,BANK,C,6020,2000-03-31,004674,RF,3888.5890,2032.4110
I,USD,STD,BANK,C,6020,2000-03-31,004678,FMER,2175.9460,21.4500
I,USD,STD,BANK,C,6020,2000-03-31,004682,USB.1,3273.0000,18217.0000
A,USD,STD,BANK,C,6020,2000-03-31,004685,TRMK,2153.4580,0.0000
A,USD,STD,BANK,C,6020,2000-03-31,004690,FCNCA,587.0870,154.9150
A,USD,STD,BANK,C,6020,2000-03-31,004699,MTB,3068.5470,1774.4560
I,USD,STD,BANK,C,6020,2000-03-31,004708,BWE,609.3010,1062.0410
I,USD,STD,BANK,C,6020,2000-03-31,004715,AIB1,2380.2410,1195.5480
A,USD,STD,BANK,C,6020,2000-03-31,004723,USB,9357.7550,4745.4500
I,USD,STD,BANK,C,6020,2000-03-31,004736,FSCO.1,4775.5630,2491.1770
A,USD,STD,BANK,C,6020,2000-03-31,004737,FHN,3972.5030,459.8570
I,USD,STD,BANK,C,6020,2000-03-31,004739,WB.3,49389.0000,33043.0000
I,USD,STD,BANK,C,6020,2000-03-31,004742,FVB,413.5930,1.9400
I,USD,STD,BANK,C,6020,2000-03-31,004764,FBF,18788.0000,26347.0000
I,USD,STD,BANK,C,6020,2000-03-31,005417,HU,2430.5270,257.3000
I,USD,STD,BANK,C,6020,2000-03-31,005619,HIB,1168.6510,844.6380
A,USD,STD,BANK,C,6020,2000-03-31,005786,HBAN,1576.7450,4284.7730
I,USD,STD,BANK,C,6020,2000-03-31,007067,MI.1,4169.6890,1038.1840
I,USD,STD,BANK,C,6020,2000-03-31,007238,MEL.3,2412.0000,4955.0000
I,USD,STD,BANK,C,6020,2000-03-31,007253,MRBK.1,788.2140,82.6820
I,USD,STD,BANK,C,6020,2000-03-31,007562,JPM.Z,83375.0000,36475.0000
A,USD,STD,BANK,C,6020,2000-03-31,007647,BAC,129827.0000,67014.0000
I,USD,STD,BANK,C,6020,2000-03-31,007700,NBT,0.0000,6.7410
I,USD,STD,BANK,C,6020,2000-03-31,007711,NCC,7527.0970,21303.9870
A,USD,STD,BANK,C,6020,2000-03-31,007982,NTRS,2964.9000,5554.6000
A,USD,STD,BANK,C,6020,2000-03-31,008007,WFC,21334.0000,25553.0000
I,USD,STD,BANK,C,6020,2000-03-31,008118,OK.2,3267.7590,200.0000
A,USD,STD,BANK,C,6020,2000-03-31,008245,PNC,1679.0000,17263.0000
A,USD,STD,BANK,C,6020,2000-03-31,009061,HBC2,10205.2060,5887.5110
I,USD,STD,BANK,C,6020,2000-03-31,009142,RIGS.1,588.1730,416.5250
A,USD,STD,BANK,C,6020,2000-03-31,009783,KEY,10636.0000,16027.0000
I,USD,STD,BANK,C,6020,2000-03-31,009880,SOTR,7275.2830,4475.7950
I,USD,STD,BANK,C,6020,2000-03-31,010063,STL.2,190.8490,10.7000
I,USD,STD,BANK,C,6020,2000-03-31,010187,STI.1,11483.9250,7668.3920
I,USD,STD,BANK,C,6020,2000-03-31,010868,UPC.,5384.4590,1291.0620
I,USD,STD,BANK,C,6020,2000-03-31,010909,SUB.2,5223.7970,3877.0750
A,USD,STD,BANK,C,6020,2000-03-31,010916,UMBF,1076.2740,28.3620
I,USD,STD,BANK,C,6020,2000-03-31,011247,WB.1,8082.0330,8738.3870
I,USD,STD,BANK,C,6020,2000-03-31,011482,WTNY,480.5340,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,011513,WL,896.4380,168.0000
A,USD,STD,BANK,C,6020,2000-03-31,011687,ZION,3541.5550,845.4530
A,USD,STD,BANK,C,6020,2000-03-31,011842,ASB,2381.8520,122.8340
I,USD,STD,BANK,C,6020,2000-03-31,011852,KSTN,389.4100,879.6550
I,USD,STD,BANK,C,6020,2000-03-31,011853,NBAK,398.2700,0.0930
A,USD,STD,BANK,C,6020,2000-03-31,011856,TFC,6861.8220,6146.0240
A,USD,STD,BANK,C,6020,2000-03-31,011861,VLY,99.2590,591.8630
I,USD,STD,BANK,C,6020,2000-03-31,011896,FMBI,1294.4350,0.0000
A,USD,STD,BANK,C,6020,2000-03-31,012673,BCS,,
A,USD,STD,BANK,C,6020,2000-03-31,013041,SNV,1387.0810,421.4690
I,USD,STD,BANK,C,6020,2000-03-31,013042,CCB.1,393.6030,383.4570
I,USD,STD,BANK,C,6020,2000-03-31,013054,NCF,805.8370,1091.9190
I,USD,STD,BANK,C,6020,2000-03-31,013055,OV,599.0080,590.5320
I,USD,STD,BANK,C,6020,2000-03-31,013075,PFGI.,1373.1810,1625.9500
I,USD,STD,BANK,C,6020,2000-03-31,014115,FINN,116.2990,265.5520
A,USD,STD,BANK,C,6020,2000-03-31,014140,SAN,0.0000,30877.6820
I,USD,STD,BANK,C,6020,2000-03-31,014159,TCNJ,456.1580,296.7420
A,USD,STD,BANK,C,6020,2000-03-31,014172,FULT,451.3960,323.1940
I,USD,STD,BANK,C,6020,2000-03-31,014201,CBCGQ,1397.1340,889.1350
A,USD,STD,BANK,C,6020,2000-03-31,014219,CADE,147.9810,137.9030
A,USD,STD,BANK,C,6020,2000-03-31,014253,WABC,352.4470,38.0360
I,USD,STD,BANK,C,6020,2000-03-31,014275,FRCB,0.0000,1146.7480
I,USD,STD,BANK,C,6020,2000-03-31,014798,9363B,0.0000,18.0000
A,USD,STD,BANK,C,6020,2000-03-31,014802,NABZY,,
A,USD,STD,BANK,C,6020,2000-03-31,015181,BBVA,,
I,USD,STD,BANK,C,6020,2000-03-31,015197,CHFC,47.4490,2.8580
A,USD,STD,BANK,C,6020,2000-03-31,015199,SRCE,329.1520,57.1020
I,USD,STD,BANK,C,6020,2000-03-31,015202,NFB,2512.2040,1988.8970
A,USD,STD,BANK,C,6020,2000-03-31,015362,WEBNF,,15984.2820
I,USD,STD,BANK,C,6020,2000-03-31,015363,TCF,759.1190,2215.9610
I,USD,STD,BANK,C,6020,2000-03-31,015504,ABNYY,,
A,USD,STD,BANK,C,6020,2000-03-31,015505,AIBGY,,
A,USD,STD,BANK,C,6020,2000-03-31,015509,HSBC,,
A,USD,STD,BANK,C,6020,2000-03-31,015576,DB,82634.0000,101351.0000
I,USD,STD,BANK,C,6020,2000-03-31,015577,DRSDY,48937.5010,119456.7130
I,USD,STD,BANK,C,6020,2000-03-31,015627,MBK.1,79676.9640,53601.9580
A,USD,STD,BANK,C,6020,2000-03-31,015634,NWG,,
A,USD,STD,BANK,C,6020,2000-03-31,015784,SCGLY,,
A,USD,STD,BANK,C,6020,2000-03-31,015889,ANZGY,5332.1350,6246.2850
A,USD,STD,BANK,C,6020,2000-03-31,015929,LYG,,
I,USD,STD,BANK,C,6020,2000-03-31,016245,PBCT,596.0000,1537.4000
I,USD,STD,BANK,C,6020,2000-03-31,016550,FBCG.1,2.1300,25.8890
I,USD,STD,BANK,C,6020,2000-03-31,016573,CBC.2,1478.7590,1000.1680
I,USD,STD,BANK,C,6020,2000-03-31,016643,AMFIQ,545.6790,341.6110
A,USD,STD,BANK,C,6020,2000-03-31,016668,AROW,26.8890,75.0000
I,USD,STD,BANK,C,6020,2000-03-31,016674,BSBN,135.9820,30.0000
I,USD,STD,BANK,C,6020,2000-03-31,016675,PRFC.,62.1320,150.0040
I,USD,STD,BANK,C,6020,2000-03-31,016679,GRAN.1,24.2470,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,016683,BKNG.1,583.2570,30.0000
I,USD,STD,BANK,C,6020,2000-03-31,016686,BVC.1,498.4550,1483.8310
A,USD,STD,BANK,C,6020,2000-03-31,016689,NBN,110.8610,37.0820
I,USD,STD,BANK,C,6020,2000-03-31,016698,BMTC,0.0000,0.0000
A,USD,STD,BANK,C,6020,2000-03-31,016705,CPF,36.8560,117.6210
I,USD,STD,BANK,C,6020,2000-03-31,016733,FMN.1,116.0470,24.6420
I,USD,STD,BANK,C,6020,2000-03-31,016748,CNBKA,69.2000,142.5620
I,USD,STD,BANK,C,6020,2000-03-31,016751,CF.6,4462.1790,4115.7860
I,USD,STD,BANK,C,6020,2000-03-31,016769,CHZ,,254.3230
A,USD,STD,BANK,C,6020,2000-03-31,016777,FBNC,40.0000,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,016778,FCTR.1,522.3480,0.0000
A,USD,STD,BANK,C,6020,2000-03-31,016781,CHCO,366.8380,203.5000
I,USD,STD,BANK,C,6020,2000-03-31,016784,CBH.1,318.9530,80.5000
I,USD,STD,BANK,C,6020,2000-03-31,016785,CEBK,18.0000,93.0000
A,USD,STD,BANK,C,6020,2000-03-31,016790,CBU,299.0000,29.8190
I,USD,STD,BANK,C,6020,2000-03-31,016791,CMTY,4.5300,192.0000
A,USD,STD,BANK,C,6020,2000-03-31,016821,FBP,1751.3860,194.9110
A,USD,STD,BANK,C,6020,2000-03-31,016829,PCLB,,22.2020
A,USD,STD,BANK,C,6020,2000-03-31,016832,GBCI,12.9790,210.8110
I,USD,STD,BANK,C,6020,2000-03-31,016836,FFCH,68.7630,718.5000
I,USD,STD,BANK,C,6020,2000-03-31,016837,CVAL,0.0000,106.0710
I,USD,STD,BANK,C,6020,2000-03-31,016839,FGHC,,8.6000
I,USD,STD,BANK,C,6020,2000-03-31,016843,FINB,114.8420,391.8210
A,USD,STD,BANK,C,6020,2000-03-31,016845,FRME,166.3120,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,016853,FOBB,87.3080,101.0880
I,USD,STD,BANK,C,6020,2000-03-31,016860,UNTD.,139.7660,27.6420
I,USD,STD,BANK,C,6020,2000-03-31,016872,FOOT,4.9530,0.0050
I,USD,STD,BANK,C,6020,2000-03-31,016877,FBCP.,71.5410,7.4700
I,USD,STD,BANK,C,6020,2000-03-31,016885,HRZB,37.8530,2.0000
I,USD,STD,BANK,C,6020,2000-03-31,016887,IMP.1,94.4230,176.4610
A,USD,STD,BANK,C,6020,2000-03-31,016889,INDB,114.7990,318.1610
A,USD,STD,BANK,C,6020,2000-03-31,016890,IBCP,31.4490,221.9050
I,USD,STD,BANK,C,6020,2000-03-31,016896,IFCJ,16.4810,13.0000
I,USD,STD,BANK,C,6020,2000-03-31,016910,NBBC,26.1250,42.5000
I,USD,STD,BANK,C,6020,2000-03-31,016929,MBVT,13.8300,1.5670
I,USD,STD,BANK,C,6020,2000-03-31,016930,MBNY,286.8580,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,016938,GBCB,25.0000,64.0390
I,USD,STD,BANK,C,6020,2000-03-31,016948,GSBI,64.3500,80.5510
I,USD,STD,BANK,C,6020,2000-03-31,016956,HNBC,76.7170,132.6410
A,USD,STD,BANK,C,6020,2000-03-31,016981,OFG,754.7600,180.8750
A,USD,STD,BANK,C,6020,2000-03-31,016989,PEBK,0.0000,15.4920
I,USD,STD,BANK,C,6020,2000-03-31,016991,BNK.3,924.8960,3683.2090
I,USD,STD,BANK,C,6020,2000-03-31,017016,FLAG.1,12.8100,24.6100
I,USD,STD,BANK,C,6020,2000-03-31,017030,PBKS,540.4860,611.4710
I,USD,STD,BANK,C,6020,2000-03-31,017047,MAB.1,300.1620,66.7110
I,USD,STD,BANK,C,6020,2000-03-31,017049,MBNK,275.1340,95.0000
I,USD,STD,BANK,C,6020,2000-03-31,017065,NCBM,134.3190,186.0000
I,USD,STD,BANK,C,6020,2000-03-31,017069,FCAL.1,0.0000,22.5000
I,USD,STD,BANK,C,6020,2000-03-31,017070,NPBC,260.7170,223.3220
A,USD,STD,BANK,C,6020,2000-03-31,017095,ONB,618.6970,879.4840
A,USD,STD,BANK,C,6020,2000-03-31,017106,PEBO,73.3680,179.1750
I,USD,STD,BANK,C,6020,2000-03-31,017120,MNSH,0.0000,38.5500
A,USD,STD,BANK,C,6020,2000-03-31,017130,STD2,9339.4190,3345.9180
I,USD,STD,BANK,C,6020,2000-03-31,017136,SCNB,0.0000,29.3000
I,USD,STD,BANK,C,6020,2000-03-31,017142,RBNC.1,673.1030,720.6540
A,USD,STD,BANK,C,6020,2000-03-31,017145,WAFD,2177.9360,0.0000
A,USD,STD,BANK,C,6020,2000-03-31,017150,WBS,870.3810,2223.2520
A,USD,STD,BANK,C,6020,2000-03-31,017151,WSBC,113.0000,11.8530
I,USD,STD,BANK,C,6020,2000-03-31,017152,3SWST,0.0000,9.6500
I,USD,STD,BANK,C,6020,2000-03-31,017157,WHCI,723.3730,149.0000
I,USD,STD,BANK,C,6020,2000-03-31,017160,CORSQ,0.1740,40.0000
I,USD,STD,BANK,C,6020,2000-03-31,017168,RBPAA,0.0000,30.4680
I,USD,STD,BANK,C,6020,2000-03-31,017179,SJNB,0.0000,32.8610
A,USD,STD,BANK,C,6020,2000-03-31,017184,SBCF,27.4140,49.9700
A,USD,STD,BANK,C,6020,2000-03-31,017195,FFBC,373.5460,142.8560
I,USD,STD,BANK,C,6020,2000-03-31,017208,AANB,4.9210,0.9410
I,USD,STD,BANK,C,6020,2000-03-31,017233,SUSQ,179.7690,943.3440
A,USD,STD,BANK,C,6020,2000-03-31,017240,TMP,63.9070,42.8360
A,USD,STD,BANK,C,6020,2000-03-31,017248,UBSI,1263.9360,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,017255,UBMT,13.8630,47.3750
I,USD,STD,BANK,C,6020,2000-03-31,017256,UNBJ,156.5630,264.3860
A,USD,STD,BANK,C,6020,2000-03-31,017269,ASRV,861.0810,105.4950
I,USD,STD,BANK,C,6020,2000-03-31,017272,CEBC,70.0820,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,017318,WAIN,80.1360,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,017348,AMBC.,215.2240,12.6500
I,USD,STD,BANK,C,6020,2000-03-31,017367,AMNB,24.5290,21.0900
I,USD,STD,BANK,C,6020,2000-03-31,017433,BRBK,196.7290,26.7440
I,USD,STD,BANK,C,6020,2000-03-31,017438,BDGE,0.0000,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,017461,BRBW,0.0000,0.2570
A,USD,STD,BANK,C,6020,2000-03-31,017534,CCNE,0.0000,27.5650
I,USD,STD,BANK,C,6020,2000-03-31,017635,BZBC,0.0000,26.0000
I,USD,STD,BANK,C,6020,2000-03-31,017640,TSFG,555.0220,25.7790
A,USD,STD,BANK,C,6020,2000-03-31,017641,BKSC,12.1730,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,017654,CBBI.1,148.5000,225.0730
I,USD,STD,BANK,C,6020,2000-03-31,017678,3CNBI.,9.1570,10.5910
I,USD,STD,BANK,C,6020,2000-03-31,017680,CSBK.1,0.0000,5.5800
I,USD,STD,BANK,C,6020,2000-03-31,017694,CRRB.1,20.1160,61.5100
I,USD,STD,BANK,C,6020,2000-03-31,017715,CVLY,14.0000,10.2670
A,USD,STD,BANK,C,6020,2000-03-31,017724,CNOB,31.9150,40.0000
I,USD,STD,BANK,C,6020,2000-03-31,017753,CTRY,7.6800,25.1590
I,USD,STD,BANK,C,6020,2000-03-31,017762,CBCRQ,,58.4000
I,USD,STD,BANK,C,6020,2000-03-31,017780,WCBO,118.5750,60.2960
I,USD,STD,BANK,C,6020,2000-03-31,017789,3COBI.,15.0160,7.4860
A,USD,STD,BANK,C,6020,2000-03-31,017795,CNAF,5.2750,20.0000
I,USD,STD,BANK,C,6020,2000-03-31,017863,INB.2,0.8790,11.1460
I,USD,STD,BANK,C,6020,2000-03-31,017908,ALNC,25.6550,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,017919,CWBS,3.4080,0.5050
A,USD,STD,BANK,C,6020,2000-03-31,018008,ENBP,,
A,USD,STD,BANK,C,6020,2000-03-31,018037,CZNC,99.1240,25.6200
A,USD,STD,BANK,C,6020,2000-03-31,018040,FRBKQ,0.0000,198.6050
I,USD,STD,BANK,C,6020,2000-03-31,018044,FMBN.,101.6710,131.9330
A,USD,STD,BANK,C,6020,2000-03-31,018049,FNB,274.8120,92.3810
I,USD,STD,BANK,C,6020,2000-03-31,018051,FNBF,14.8780,51.5000
I,USD,STD,BANK,C,6020,2000-03-31,018058,FCNB,338.9470,40.2500
I,USD,STD,BANK,C,6020,2000-03-31,018110,FFKT,40.7220,7.3130
I,USD,STD,BANK,C,6020,2000-03-31,018234,FTCG.,23.2750,22.0000
I,USD,STD,BANK,C,6020,2000-03-31,018238,FCBIA,258.0630,256.2420
A,USD,STD,BANK,C,6020,2000-03-31,018241,FCF,444.7990,641.0950
A,USD,STD,BANK,C,6020,2000-03-31,018276,THFF,93.6550,423.4490
I,USD,STD,BANK,C,6020,2000-03-31,018307,FLIC,0.0000,0.0000
A,USD,STD,BANK,C,6020,2000-03-31,018329,BUSE,73.9890,52.9080
I,USD,STD,BANK,C,6020,2000-03-31,018331,FCBH10,0.0000,0.0000
A,USD,STD,BANK,C,6020,2000-03-31,018358,FUNC,,127.3800
I,USD,STD,BANK,C,6020,2000-03-31,018361,FCEC,3.6060,22.2970
A,USD,STD,BANK,C,6020,2000-03-31,018385,FRAF,35.7320,29.6950
I,USD,STD,BANK,C,6020,2000-03-31,018439,FRGBQ,0.0000,1.2750
A,USD,STD,BANK,C,6020,2000-03-31,018533,HBNC,14.5000,80.2250
I,USD,STD,BANK,C,6020,2000-03-31,018651,3HOVB,62.1260,0.0000
A,USD,STD,BANK,C,6020,2000-03-31,018732,LKFN,162.8290,31.6090
I,USD,STD,BANK,C,6020,2000-03-31,018835,MADB,0.0000,13.0000
I,USD,STD,BANK,C,6020,2000-03-31,018928,IRWNQ,496.5140,77.6620
I,USD,STD,BANK,C,6020,2000-03-31,019024,IBNKQ,86.8040,259.7130
I,USD,STD,BANK,C,6020,2000-03-31,019049,BTFG,8.8310,7.0000
A,USD,STD,BANK,C,6020,2000-03-31,019094,NBTB,165.4450,161.7930
A,USD,STD,BANK,C,6020,2000-03-31,019137,OVBC,39.1600,22.7960
A,USD,STD,BANK,C,6020,2000-03-31,019150,OSBC,20.1110,5.0270
I,USD,STD,BANK,C,6020,2000-03-31,019156,OMEF,38.1910,10.5520
I,USD,STD,BANK,C,6020,2000-03-31,019158,PRFS.1,92.2370,65.0000
I,USD,STD,BANK,C,6020,2000-03-31,019159,PWOD,29.3600,27.2780
I,USD,STD,BANK,C,6020,2000-03-31,019207,NREB,0.0000,6.8440
A,USD,STD,BANK,C,6020,2000-03-31,019262,CTBI,51.0810,69.7630
A,USD,STD,BANK,C,6020,2000-03-31,019318,PRK,199.9990,125.0750
I,USD,STD,BANK,C,6020,2000-03-31,019346,SLFC,17.2060,88.2340
A,USD,STD,BANK,C,6020,2000-03-31,019355,SFNC,55.8330,41.6800
I,USD,STD,BANK,C,6020,2000-03-31,019361,SMTB,0.0000,35.0000
I,USD,STD,BANK,C,6020,2000-03-31,019399,CFGI.,15.0000,15.8100
I,USD,STD,BANK,C,6020,2000-03-31,019415,SBIT.1,28.4380,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,019420,SUBI,14.1980,234.0000
A,USD,STD,BANK,C,6020,2000-03-31,019428,GSBC,35.0280,200.7590
I,USD,STD,BANK,C,6020,2000-03-31,019486,SBCO.1,8.6050,81.8780
I,USD,STD,BANK,C,6020,2000-03-31,019508,STBC,80.6350,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,019537,SLFI,20.5920,29.4470
I,USD,STD,BANK,C,6020,2000-03-31,019552,MDB.1,0.0000,0.6790
A,USD,STD,BANK,C,6020,2000-03-31,019570,STBA,87.8950,389.1090
I,USD,STD,BANK,C,6020,2000-03-31,019694,UNBO,71.9100,50.5700
A,USD,STD,BANK,C,6020,2000-03-31,019713,AUB,36.8600,80.7780
I,USD,STD,BANK,C,6020,2000-03-31,019742,SECD.1,136.6400,235.9420
A,USD,STD,BANK,C,6020,2000-03-31,019817,UVSP,65.4630,18.0750
A,USD,STD,BANK,C,6020,2000-03-31,019873,WASH,1.6420,373.4230
I,USD,STD,BANK,C,6020,2000-03-31,019878,WNNB,25.4940,1.6050
I,USD,STD,BANK,C,6020,2000-03-31,019891,WBKC.1,41.2270,17.0000
A,USD,STD,BANK,C,6020,2000-03-31,020019,CVBF,383.0000,0.5360
I,USD,STD,BANK,C,6020,2000-03-31,020028,CCBT,20.4780,381.8640
I,USD,STD,BANK,C,6020,2000-03-31,020097,CSBI.1,16.0290,47.6400
A,USD,STD,BANK,C,6020,2000-03-31,020109,CCBG,78.6320,14.0560
I,USD,STD,BANK,C,6020,2000-03-31,020191,CIVC,8.8750,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,020297,LNBB,20.3200,19.3450
I,USD,STD,BANK,C,6020,2000-03-31,021159,SUMM.,0.5000,13.0000
I,USD,STD,BANK,C,6020,2000-03-31,021166,AMPB,0.0000,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,021272,BOYL,0.0000,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,021374,SAVB,26.8590,0.0000
A,USD,STD,BANK,C,6020,2000-03-31,021382,STD1,,
A,USD,STD,BANK,C,6020,2000-03-31,021423,UNIB,2.9620,2.6550
A,USD,STD,BANK,C,6020,2000-03-31,021593,CIVB,10.4040,1.8220
I,USD,STD,BANK,C,6020,2000-03-31,021595,VIST.1,31.1250,37.2850
A,USD,STD,BANK,C,6020,2000-03-31,022086,IBOC,126.2090,1307.5000
I,USD,STD,BANK,C,6020,2000-03-31,022122,UBH,326.4630,20.0000
I,USD,STD,BANK,C,6020,2000-03-31,022216,NBOH,2.3010,6.8510
A,USD,STD,BANK,C,6020,2000-03-31,022717,SYBT,43.6580,2.1000
I,USD,STD,BANK,C,6020,2000-03-31,022751,SFSW,18.1320,134.4590
I,USD,STD,BANK,C,6020,2000-03-31,023025,ESFYY,,
I,USD,STD,BANK,C,6020,2000-03-31,023107,FBMI,99.1800,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,023111,MSFG,32.1060,39.3130
A,USD,STD,BANK,C,6020,2000-03-31,023450,NRIM,,3.0280
A,USD,STD,BANK,C,6020,2000-03-31,023500,CATY,49.3530,30.0000
I,USD,STD,BANK,C,6020,2000-03-31,023544,BLMT.,19.4400,20.0000
I,USD,STD,BANK,C,6020,2000-03-31,023553,PCBC.3,57.9250,122.8540
I,USD,STD,BANK,C,6020,2000-03-31,023592,KRB,625.5730,5832.8880
A,USD,STD,BANK,C,6020,2000-03-31,023848,BPCGY,0.0000,6718.0490
I,USD,STD,BANK,C,6020,2000-03-31,023871,IBK,0.0000,13.0000
I,USD,STD,BANK,C,6020,2000-03-31,024148,VNBCQ,0.0000,0.0000
A,USD,STD,BANK,C,6020,2000-03-31,024232,HWC,164.3650,2.2900
I,USD,STD,BANK,C,6020,2000-03-31,024278,NSFC,55.7560,10.0000
I,USD,STD,BANK,C,6020,2000-03-31,024279,AFSC.1,43.1060,95.2000
I,USD,STD,BANK,C,6020,2000-03-31,024292,PNWB,280.7170,759.2710
I,USD,STD,BANK,C,6020,2000-03-31,024397,CFBX,676.4310,193.3530
I,USD,STD,BANK,C,6020,2000-03-31,024414,COOPQ,0.0000,63.1050
A,USD,STD,BANK,C,6020,2000-03-31,024447,BOKF,1321.4980,1028.7650
I,USD,STD,BANK,C,6020,2000-03-31,024466,IBKC,56.2000,49.7500
I,USD,STD,BANK,C,6020,2000-03-31,024500,REBC,0.8450,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,024589,IMI.2,,0.0000
I,USD,STD,BANK,C,6020,2000-03-31,025140,HFFC,0.0000,113.7250
A,USD,STD,BANK,C,6020,2000-03-31,025173,RNST,0.0000,26.0940
A,USD,STD,BANK,C,6020,2000-03-31,025236,PNBC,12.2780,16.4190
I,USD,STD,BANK,C,6020,2000-03-31,025281,PNB.,,75.0000
I,USD,STD,BANK,C,6020,2000-03-31,025376,COLB.1,14.4000,6.5000
I,USD,STD,BANK,C,6020,2000-03-31,025465,COVB,85.6270,19.0000
A,USD,STD,BANK,C,6020,2000-03-31,025481,NKSH,0.0000,10.1770
I,USD,STD,BANK,C,6020,2000-03-31,025719,CASB,6.9170,155.3720
A,USD,STD,BANK,C,6020,2000-03-31,025751,BLX,1190.1520,1151.3350
I,USD,STD,BANK,C,6020,2000-03-31,025860,SBIB,280.7830,28.7500
A,USD,STD,BANK,C,6020,2000-03-31,026071,FCBC,39.6100,113.8420
I,USD,STD,BANK,C,6020,2000-03-31,026077,TRUE.,0.0000,5.0000
I,USD,STD,BANK,C,6020,2000-03-31,026078,MNBB,,14.8190
A,USD,STD,BANK,C,6020,2000-03-31,027886,UBCP,6.1170,15.5300
I,USD,STD,BANK,C,6020,2000-03-31,027996,UBSC,43.6000,10.3040
A,USD,STD,BANK,C,6020,2000-03-31,028022,BANF,23.5970,52.3040
I,USD,STD,BANK,C,6020,2000-03-31,028135,CVBK,1.8810,20.0270
I,USD,STD,BANK,C,6020,2000-03-31,028152,MSL,0.6120,3.6170
A,USD,STD,BANK,C,6020,2000-03-31,028155,TCBK,4.7000,45.5000
I,USD,STD,BANK,C,6020,2000-03-31,028185,PBTC,6.7150,41.4740
I,USD,STD,BANK,C,6020,2000-03-31,028200,UNIZ,26.2000,396.8980
I,USD,STD,BANK,C,6020,2000-03-31,028215,3MMBI,81.0800,0.0000
A,USD,STD,BANK,C,6020,2000-03-31,028278,GABC,,195.0100
I,USD,STD,BANK,C,6020,2000-03-31,028315,VBNJ,35.4980,16.5000
I,USD,STD,BANK,C,6020,2000-03-31,028342,SKYF.,,882.4040
I,USD,STD,BANK,C,6020,2000-03-31,028409,3BGALF,0.0000,1239.4000
I,USD,STD,BANK,C,6020,2000-03-31,028437,CBNY.1,0.0000,1.7130
I,USD,STD,BANK,C,6020,2000-03-31,028573,MVBI,113.5780,14.9500
I,USD,STD,BANK,C,6020,2000-03-31,028577,SRYP,0.0000,4.3500
I,USD,STD,BANK,C,6020,2000-03-31,028620,PFC,0.0000,243.8000
I,USD,STD,BANK,C,6020,2000-03-31,028696,NSDB,3.0000,61.5500
I,USD,STD,BANK,C,6020,2000-03-31,028833,CLDB,48.6160,0.0000
A,USD,STD,BANK,C,6020,2000-03-31,028866,CASH,2.9620,152.4830
A,USD,STD,BANK,C,6020,2000-03-31,028967,QCRH,15.7980,32.0140
I,USD,STD,BANK,C,6020,2000-03-31,028970,CLBK.1,42.2310,0.0000
A,USD,STD,BANK,C,6020,2000-03-31,029061,RVSB,60.5500,0.0000
